image_id,timestamp,timestamp_utc,timestamp_local,previous_image_id,previous_masked_path,raw_path,masked_path,label,notes
2026-04-26/vdd_oval_river_wb_20260426T154138Z,2026-04-26T08:41:38-07:00,2026-04-26T15:41:38Z,2026-04-26T08:41:38-07:00,,,data/raw/2026-04-26/vdd_oval_river_wb_20260426T154138Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T154138Z.jpg,inactive,
2026-04-26/vdd_oval_river_wb_20260426T162506Z,2026-04-26T09:25:06-07:00,2026-04-26T16:25:06Z,2026-04-26T09:25:06-07:00,2026-04-26/vdd_oval_river_wb_20260426T154138Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T154138Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T162506Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T162506Z.jpg,inactive,
2026-04-26/vdd_oval_river_wb_20260426T170933Z,2026-04-26T10:09:33-07:00,2026-04-26T17:09:33Z,2026-04-26T10:09:33-07:00,2026-04-26/vdd_oval_river_wb_20260426T162506Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T162506Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T170933Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T170933Z.jpg,inactive,
2026-04-26/vdd_oval_river_wb_20260426T175815Z,2026-04-26T10:58:15-07:00,2026-04-26T17:58:15Z,2026-04-26T10:58:15-07:00,2026-04-26/vdd_oval_river_wb_20260426T170933Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T170933Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T175815Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T175815Z.jpg,inactive,
2026-04-26/vdd_oval_river_wb_20260426T190750Z,2026-04-26T12:07:50-07:00,2026-04-26T19:07:50Z,2026-04-26T12:07:50-07:00,2026-04-26/vdd_oval_river_wb_20260426T175815Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T175815Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T190750Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T190750Z.jpg,inactive,
2026-04-26/vdd_oval_river_wb_20260426T195343Z,2026-04-26T12:53:43-07:00,2026-04-26T19:53:43Z,2026-04-26T12:53:43-07:00,2026-04-26/vdd_oval_river_wb_20260426T190750Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T190750Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T195343Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T195343Z.jpg,active,
2026-04-26/vdd_oval_river_wb_20260426T203433Z,2026-04-26T13:34:33-07:00,2026-04-26T20:34:33Z,2026-04-26T13:34:33-07:00,2026-04-26/vdd_oval_river_wb_20260426T195343Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T195343Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T203433Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T203433Z.jpg,active,
2026-04-26/vdd_oval_river_wb_20260426T210830Z,2026-04-26T14:08:30-07:00,2026-04-26T21:08:30Z,2026-04-26T14:08:30-07:00,2026-04-26/vdd_oval_river_wb_20260426T203433Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T203433Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T210830Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T210830Z.jpg,discard,auto-discard: corrupt gray frame
2026-04-26/vdd_oval_river_wb_20260426T215334Z,2026-04-26T14:53:34-07:00,2026-04-26T21:53:34Z,2026-04-26T14:53:34-07:00,2026-04-26/vdd_oval_river_wb_20260426T210830Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T210830Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T215334Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T215334Z.jpg,discard,auto-discard: corrupt gray frame
2026-04-26/vdd_oval_river_wb_20260426T223400Z,2026-04-26T15:34:00-07:00,2026-04-26T22:34:00Z,2026-04-26T15:34:00-07:00,2026-04-26/vdd_oval_river_wb_20260426T215334Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T215334Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T223400Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T223400Z.jpg,active,
2026-04-26/vdd_oval_river_wb_20260426T232228Z,2026-04-26T16:22:28-07:00,2026-04-26T23:22:28Z,2026-04-26T16:22:28-07:00,2026-04-26/vdd_oval_river_wb_20260426T223400Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T223400Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260426T232228Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260426T232228Z.jpg,active,
2026-04-26/vdd_oval_river_wb_20260427T000138Z,2026-04-26T17:01:38-07:00,2026-04-27T00:01:38Z,2026-04-26T17:01:38-07:00,2026-04-26/vdd_oval_river_wb_20260426T232228Z,data/masked/2026-04-26/vdd_oval_river_wb_20260426T232228Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260427T000138Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260427T000138Z.jpg,active,
2026-04-26/vdd_oval_river_wb_20260427T035521Z,2026-04-26T20:55:21-07:00,2026-04-27T03:55:21Z,2026-04-26T20:55:21-07:00,2026-04-26/vdd_oval_river_wb_20260427T000138Z,data/masked/2026-04-26/vdd_oval_river_wb_20260427T000138Z.jpg,data/raw/2026-04-26/vdd_oval_river_wb_20260427T035521Z.jpg,data/masked/2026-04-26/vdd_oval_river_wb_20260427T035521Z.jpg,inactive,
2026-04-27/vdd_oval_river_wb_20260427T162611Z,2026-04-27T09:26:11-07:00,2026-04-27T16:26:11Z,2026-04-27T09:26:11-07:00,2026-04-26/vdd_oval_river_wb_20260427T035521Z,data/masked/2026-04-26/vdd_oval_river_wb_20260427T035521Z.jpg,data/raw/2026-04-27/vdd_oval_river_wb_20260427T162611Z.jpg,data/masked/2026-04-27/vdd_oval_river_wb_20260427T162611Z.jpg,inactive,
2026-04-27/vdd_oval_river_wb_20260427T174915Z,2026-04-27T10:49:15-07:00,2026-04-27T17:49:15Z,2026-04-27T10:49:15-07:00,2026-04-27/vdd_oval_river_wb_20260427T162611Z,data/masked/2026-04-27/vdd_oval_river_wb_20260427T162611Z.jpg,data/raw/2026-04-27/vdd_oval_river_wb_20260427T174915Z.jpg,data/masked/2026-04-27/vdd_oval_river_wb_20260427T174915Z.jpg,inactive,
2026-04-27/vdd_oval_river_wb_20260427T190008Z,2026-04-27T12:00:08-07:00,2026-04-27T19:00:08Z,2026-04-27T12:00:08-07:00,2026-04-27/vdd_oval_river_wb_20260427T174915Z,data/masked/2026-04-27/vdd_oval_river_wb_20260427T174915Z.jpg,data/raw/2026-04-27/vdd_oval_river_wb_20260427T190008Z.jpg,data/masked/2026-04-27/vdd_oval_river_wb_20260427T190008Z.jpg,inactive,
